# ident               redshift   spec1                      i-megacam   i-megacam_err   u-megacam   u-megacam_err   g-megacam   g-megacam_err   r-megacam   r-megacam_err   i-megacam   i-megacam_err   z-megacam   z-megacam_err   J-wircam   J-wircam_err   H-wircam   H-wircam_err   K-wircam   K-wircam_err  
  SPARTAN_comb_N83    0.8272     SPARTAN_comb_N83_1.spec    23.6867     0.0             25.6725     0.4453          25.2615     0.1709          24.6317     0.1787          23.6867     0.0862          23.2231     0.097           22.4731    0.3379         22.1495    0.9143         21.8864    0.2892        
  SPARTAN_comb_N84    0.8273     SPARTAN_comb_N84_1.spec    23.2948     0.0             24.2744     0.5442          24.2167     0.4603          23.9589     0.1129          23.2948     0.2575          23.0586     0.3764          22.7526    0.3755         22.7333    0.6647         22.6942    0.196         
  SPARTAN_comb_N85    0.8275     SPARTAN_comb_N85_1.spec    23.2783     0.0             25.2395     0.0308          24.9731     0.5554          24.3262     0.3393          23.2783     0.2121          22.838      0.3648          22.2303    0.4865         21.8927    0.7202         21.6634    0.6115        
  SPARTAN_comb_N86    0.8276     SPARTAN_comb_N86_1.spec    23.9709     0.0             27.0531     0.8699          26.537      0.1539          25.4396     0.1263          23.9709     0.4292          23.1466     0.0422          21.917     0.6371         21.0286    0.2404         20.3339    0.8555        
  SPARTAN_comb_N87    0.8282     SPARTAN_comb_N87_1.spec    21.402      0.0             22.3838     0.2146          22.2507     0.1178          21.9402     0.2593          21.402      0.2999          21.0722     0.382           20.6034    0.7159         20.7309    0.8184         20.8052    1.1138        
  SPARTAN_comb_N88    0.8285     SPARTAN_comb_N88_1.spec    23.0648     0.0             25.3008     0.0184          24.9211     0.0345          24.1564     0.2029          23.0648     0.2758          22.5468     0.3686          21.7746    1.2461         21.3617    0.5225         21.1057    0.5925        
  SPARTAN_comb_N89    0.8286     SPARTAN_comb_N89_1.spec    22.3875     0.0             28.1399     0.3363          26.2304     0.5407          24.1515     0.1101          22.3875     0.0126          21.5623     0.1491          20.3435    1.0383         19.5627    0.5597         19.0387    0.4743        
  SPARTAN_comb_N90    0.8289     SPARTAN_comb_N90_1.spec    23.3182     0.0             29.3237     0.1096          27.1669     0.4281          24.9559     0.2048          23.3182     0.2955          22.4481     0.2915          21.2247    0.2915         20.4121    0.9721         19.9942    0.091         
  SPARTAN_comb_N91    0.829      SPARTAN_comb_N91_1.spec    23.3535     0.0             25.1977     0.5938          24.8037     0.1618          24.2249     0.2132          23.3535     0.0977          22.9282     0.3582          22.2187    0.6953         21.7542    0.7996         21.3164    0.0399        
  SPARTAN_comb_N92    0.8293     SPARTAN_comb_N92_1.spec    21.8232     0.0             22.2893     0.4423          22.3732     0.0606          22.2715     0.1827          21.8232     0.1875          21.6357     0.286           21.4453    0.6247         21.677     0.5757         21.8392    0.2293        
  SPARTAN_comb_N93    0.8293     SPARTAN_comb_N93_1.spec    23.7168     0.0             30.3089     0.0775          28.2022     0.1052          25.6536     0.298           23.7168     0.2409          22.7058     0.5026          21.3224    0.5689         20.3501    0.9236         19.618     0.1547        
  SPARTAN_comb_N94    0.8294     SPARTAN_comb_N94_1.spec    24.0604     0.0             26.3813     0.0649          25.854      0.091           25.1152     0.2367          24.0604     0.312           23.5584     0.2204          22.7026    0.7252         22.1183    0.4097         21.5968    0.1215        
  SPARTAN_comb_N95    0.8295     SPARTAN_comb_N95_1.spec    22.6102     0.0             23.4752     0.1874          23.3537     0.0262          23.0688     0.1152          22.6102     0.4764          22.2687     0.2625          21.7803    0.6871         21.979     0.423          22.0942    0.3206        
  SPARTAN_comb_N96    0.8295     SPARTAN_comb_N96_1.spec    22.7015     0.0             23.8893     0.481           23.7338     0.1953          23.3714     0.2053          22.7015     0.371           22.3769     0.1626          21.9144    0.4901         21.9292    0.2892         21.9387    1.4426        
  SPARTAN_comb_N97    0.8298     SPARTAN_comb_N97_1.spec    21.9537     0.0             22.9512     0.1812          22.8955     0.4298          22.6091     0.2033          21.9537     0.1487          21.6823     0.3136          21.3382    0.6644         21.3688    0.613          21.4       0.2459        
  SPARTAN_comb_N98    0.8304     SPARTAN_comb_N98_1.spec    24.2164     0.0             24.0243     0.4439          24.1745     0.126           24.186      0.0344          24.2164     0.1636          23.8867     0.1941          23.5154    1.1077         24.2209    1.0013         24.7114    0.7944        
  SPARTAN_comb_N99    0.831      SPARTAN_comb_N99_1.spec    22.5924     0.0             24.8734     0.5266          24.3511     0.1097          23.6006     0.2129          22.5924     0.2003          22.0634     0.2264          21.1926    0.5044         20.8803    0.7998         20.6591    0.037         
  SPARTAN_comb_N100   0.8312     SPARTAN_comb_N100_1.spec   22.1795     0.0             23.3084     0.1816          23.0768     0.1242          22.6814     0.1613          22.1795     0.3381          21.7547     0.3871          21.1116    0.0546         21.2595    0.4496         21.3361    0.9901        
  SPARTAN_comb_N101   0.8315     SPARTAN_comb_N101_1.spec   23.1176     0.0             24.8452     0.2199          24.5502     0.1096          24.0143     0.3856          23.1176     0.2992          22.6813     0.6811          21.9996    0.6523         21.5413    0.2529         21.1055    0.1909        
  SPARTAN_comb_N102   0.8324     SPARTAN_comb_N102_1.spec   23.191      0.0             25.1565     0.2009          24.6597     0.1935          24.006      0.1441          23.191      0.1171          22.6846     0.575           21.8141    0.2772         21.5426    0.3595         21.2919    0.4269        
  SPARTAN_comb_N103   0.8328     SPARTAN_comb_N103_1.spec   23.8357     0.0             24.3984     0.4196          24.4665     0.1172          24.3522     0.1853          23.8357     0.3452          23.6565     0.1127          23.4696    4.0E-4         23.5664    1.3206         23.6043    0.8651        
  SPARTAN_comb_N104   0.8332     SPARTAN_comb_N104_1.spec   23.3206     0.0             28.4062     0.2773          26.6282     0.5598          24.7138     0.0372          23.3206     0.1369          22.6083     0.5517          21.7009    0.6036         21.1187    0.2368         20.847     0.8431        
  SPARTAN_comb_N105   0.8335     SPARTAN_comb_N105_1.spec   23.618      0.0             23.625      0.3252          23.6506     0.1552          23.624      0.0827          23.618      0.1232          23.3795     0.5462          23.0337    0.4954         23.2581    0.9559         23.2215    0.9107        
